Date,Open,High,Low,Close,Change,%Chg,Volume
07/25/2024,2397.97,2400.7,2394.86,2397.29,-0.69,-0.03%,576
07/24/2024,2409.36,2430.89,2397.98,2397.98,-11.36,-0.47%,5148
07/23/2024,2396.54,2410.62,2389.08,2409.34,12.85,+0.54%,5371
07/22/2024,2401.9,2411.65,2385.5,2396.49,-3.9,-0.16%,5154
07/19/2024,2445.17,2445.24,2396.09,2400.39,-44.8,-1.83%,4549
07/18/2024,2458.92,2473.97,2441.21,2445.19,-13.77,-0.56%,5249
07/17/2024,2468.85,2481.63,2452.34,2458.96,-9.88,-0.40%,5048
07/16/2024,2422.11,2469.09,2420.4,2468.84,46.79,+1.93%,5289
07/15/2024,2411.14,2435.68,2402.16,2422.05,10.39,+0.43%,5274
07/12/2024,2414.88,2417.93,2394.2,2411.66,-3.17,-0.13%,5413
07/11/2024,2371.36,2422.91,2371.16,2414.83,43.48,+1.83%,5434
07/10/2024,2363.86,2384.9,2363.24,2371.35,7.47,+0.32%,5530
07/09/2024,2358.94,2368.21,2352.28,2363.88,5.09,+0.22%,5385
07/08/2024,2385.3,2389.75,2353.13,2358.79,-32.66,-1.37%,5240
07/05/2024,2357.31,2392.29,2355.03,2391.45,34.15,+1.45%,5416
07/04/2024,2356.22,2361.88,2353.02,2357.3,1.11,+0.05%,5263
07/03/2024,2329.6,2364.17,2327.87,2356.19,26.57,+1.14%,4711
07/02/2024,2331.96,2334.66,2320.72,2329.62,-2.35,-0.10%,5500
07/01/2024,2326.66,2337.9,2319.98,2331.97,5.46,+0.23%,5267
06/28/2024,2327.86,2338.03,2319.85,2326.51,-1.39,-0.06%,5445
06/27/2024,2298.2,2329.91,2297.52,2327.9,29.71,+1.29%,5461
06/26/2024,2319.38,2321.19,2295.86,2298.19,-21.2,-0.91%,5296
06/25/2024,2333.9,2336.64,2317.36,2319.39,-14.47,-0.62%,5387
06/24/2024,2319.2,2334.36,2318.15,2333.86,12.96,+0.56%,5312
06/21/2024,2359.71,2367.22,2317.85,2320.9,-38.75,-1.64%,5336
06/20/2024,2328.31,2364.33,2328.18,2359.65,31.34,+1.35%,5343
06/19/2024,2329.41,2334.48,2325.58,2328.31,-1.09,-0.05%,5222
06/18/2024,2319.09,2332.24,2307.45,2329.4,10.34,+0.45%,5404
06/17/2024,2332.75,2333.02,2311.15,2319.06,-13.99,-0.60%,5325
06/14/2024,2303.99,2334.92,2302.22,2333.05,29.02,+1.26%,5320
06/13/2024,2324.43,2324.6,2296.92,2304.03,-20.44,-0.88%,5236
06/12/2024,2316.61,2339.48,2311.36,2324.47,7.91,+0.34%,5292
